MySQL connected successfully.
Server running on port 4000
[2026-05-25T20:30:09.513Z] GET /api/leads/newsletter-subscribers
[2026-05-25T20:30:09.542Z] GET /api/leads/project-requests
[2026-05-25T20:30:09.543Z] GET /api/leads/contact-leads
[2026-05-25T20:30:09.544Z] GET /api/leads/newsletter-subscribers
[2026-05-25T20:30:09.549Z] GET /api/leads/project-requests
[2026-05-25T20:30:09.550Z] GET /api/leads/contact-leads
[2026-05-25T20:30:09.551Z] GET /api/leads/newsletter-subscribers
[2026-05-25T20:30:12.296Z] GET /api/page-seo
[2026-05-25T20:30:12.353Z] GET /api/auth/me
[2026-05-25T20:30:13.894Z] GET /api/page-seo
[2026-05-25T20:30:13.895Z] GET /api/leads/project-requests
[2026-05-25T20:30:13.896Z] GET /api/leads/contact-leads
[2026-05-25T20:30:13.897Z] GET /api/leads/newsletter-subscribers
[2026-05-25T20:30:13.898Z] GET /api/auth/me
[2026-05-25T20:30:13.904Z] GET /api/leads/project-requests
[2026-05-25T20:30:13.907Z] GET /api/leads/contact-leads
[2026-05-25T20:30:13.908Z] GET /api/leads/newsletter-subscribers
[2026-05-25T20:30:13.929Z] GET /api/leads/project-requests
[2026-05-25T20:30:13.930Z] GET /api/leads/contact-leads
[2026-05-25T20:30:13.931Z] GET /api/leads/newsletter-subscribers
[2026-05-25T20:30:13.936Z] GET /api/leads/project-requests
[2026-05-25T20:30:13.937Z] GET /api/leads/contact-leads
[2026-05-25T20:30:13.938Z] GET /api/leads/newsletter-subscribers
[2026-05-25T20:30:19.937Z] GET /api/page-seo
[2026-05-25T20:30:19.938Z] GET /api/dashboard/posts
[2026-05-25T20:30:19.943Z] GET /api/auth/me
[2026-05-25T20:30:19.971Z] GET /api/dashboard/posts
[2026-05-25T20:30:20.006Z] GET /api/dashboard/posts
[2026-05-25T20:30:20.041Z] GET /api/dashboard/posts
[2026-05-25T20:30:23.795Z] GET /api/page-seo
[2026-05-25T20:30:23.796Z] GET /api/dashboard/posts
[2026-05-25T20:30:23.798Z] GET /api/auth/me
[2026-05-25T20:30:23.832Z] GET /api/dashboard/posts
[2026-05-25T20:30:23.864Z] GET /api/dashboard/posts
[2026-05-25T20:30:23.890Z] GET /api/dashboard/posts
[2026-05-25T20:30:24.854Z] GET /api/page-seo
[2026-05-25T20:30:24.855Z] GET /api/dashboard/posts
[2026-05-25T20:30:24.855Z] GET /api/auth/me
[2026-05-25T20:30:24.892Z] GET /api/dashboard/posts
[2026-05-25T20:30:24.914Z] GET /api/dashboard/posts
[2026-05-25T20:30:24.934Z] GET /api/dashboard/posts
[2026-05-25T20:30:27.519Z] GET /api/page-seo
[2026-05-25T20:30:27.520Z] GET /api/content
[2026-05-25T20:30:27.528Z] GET /api/content
[2026-05-25T20:30:27.530Z] GET /api/auth/me
[2026-05-25T20:30:27.557Z] GET /api/content
[2026-05-25T20:30:27.561Z] GET /api/content
[2026-05-25T20:30:28.599Z] GET /api/page-seo
[2026-05-25T20:30:28.601Z] GET /api/dashboard/posts
[2026-05-25T20:30:28.602Z] GET /api/auth/me
[2026-05-25T20:30:28.633Z] GET /api/dashboard/posts
[2026-05-25T20:30:28.667Z] GET /api/dashboard/posts
[2026-05-25T20:30:28.690Z] GET /api/dashboard/posts
[2026-05-25T20:31:55.277Z] GET /api/page-seo
[2026-05-25T20:31:55.283Z] GET /api/page-seo
[2026-05-25T20:31:55.439Z] GET /api/auth/me
[2026-05-25T20:31:55.445Z] GET /api/auth/me
[2026-05-25T20:31:55.533Z] GET /api/dashboard/posts
[2026-05-25T20:31:55.581Z] GET /api/dashboard/posts
[2026-05-25T20:32:01.536Z] GET /api/page-seo
[2026-05-25T20:32:01.551Z] GET /api/page-seo
[2026-05-25T20:32:01.734Z] GET /api/auth/me
[2026-05-25T20:32:01.742Z] GET /api/auth/me
[2026-05-25T20:32:01.821Z] GET /api/dashboard/posts
[2026-05-25T20:32:01.856Z] GET /api/dashboard/posts
[2026-05-25T20:32:08.023Z] GET /api/page-seo
[2026-05-25T20:32:08.028Z] GET /api/page-seo
[2026-05-25T20:32:08.123Z] GET /api/auth/me
[2026-05-25T20:32:08.130Z] GET /api/auth/me
[2026-05-25T20:32:08.188Z] GET /api/dashboard/posts
[2026-05-25T20:32:08.220Z] GET /api/dashboard/posts
[2026-05-25T20:32:12.251Z] GET /api/page-seo
[2026-05-25T20:32:12.259Z] GET /api/page-seo
[2026-05-25T20:32:12.330Z] GET /api/auth/me
[2026-05-25T20:32:12.336Z] GET /api/auth/me
[2026-05-25T20:32:12.383Z] GET /api/dashboard/posts
[2026-05-25T20:32:12.417Z] GET /api/dashboard/posts
[2026-05-25T20:35:46.811Z] GET /api/page-seo
[2026-05-25T20:35:46.935Z] GET /api/auth/me
[2026-05-25T20:35:48.372Z] GET /api/page-seo
[2026-05-25T20:35:48.374Z] GET /api/leads/project-requests
[2026-05-25T20:35:48.378Z] GET /api/leads/contact-leads
[2026-05-25T20:35:48.379Z] GET /api/leads/newsletter-subscribers
[2026-05-25T20:35:48.381Z] GET /api/auth/me
[2026-05-25T20:35:48.392Z] GET /api/leads/project-requests
[2026-05-25T20:35:48.396Z] GET /api/leads/contact-leads
[2026-05-25T20:35:48.399Z] GET /api/leads/newsletter-subscribers
[2026-05-25T20:35:48.433Z] GET /api/leads/project-requests
[2026-05-25T20:35:48.434Z] GET /api/leads/contact-leads
[2026-05-25T20:35:48.438Z] GET /api/leads/newsletter-subscribers
[2026-05-25T20:35:48.444Z] GET /api/leads/project-requests
[2026-05-25T20:35:48.447Z] GET /api/leads/contact-leads
[2026-05-25T20:35:48.450Z] GET /api/leads/newsletter-subscribers
[2026-05-25T20:35:50.506Z] GET /api/page-seo
[2026-05-25T20:35:50.508Z] GET /api/leads/project-requests
[2026-05-25T20:35:50.509Z] GET /api/leads/contact-leads
